bam_prefix	stanfordUUID	aliquot_id	Case_UUID	Case_ID
LIHC-51CD5E23-C95F-4399-B77F-95B4C33E9173-X030-S06-L036-B1-T2-P079	51CD5E23-C95F-4399-B77F-95B4C33E9173	TCGA-G3-AAV0-01A-21-A644-42	6e657705-8579-433b-af7a-b6155b599518	TCGA-G3-AAV0-01A-21-A644-42
KIRP-52DFFDB2-62DB-4DD7-91BB-B9C34FC1E08C-X016-S07-L059-B1-T1-P032	52DFFDB2-62DB-4DD7-91BB-B9C34FC1E08C	TCGA-F9-A7VF-01A-31-A617-42	69e6da3c-2a03-48bc-bc2a-019b21820149	TCGA-F9-A7VF-01A-31-A617-42
KIRP-52DFFDB2-62DB-4DD7-91BB-B9C34FC1E08C-X016-S07-L060-B1-T2-P033	52DFFDB2-62DB-4DD7-91BB-B9C34FC1E08C	TCGA-F9-A7VF-01A-31-A617-42	69e6da3c-2a03-48bc-bc2a-019b21820149	TCGA-F9-A7VF-01A-31-A617-42
PRAD-53DF2155-A6B0-46AC-A21B-288784A53914-X038-S01-L073-B1-T1-P097	53DF2155-A6B0-46AC-A21B-288784A53914	TCGA-EJ-A46E-01A-21-A644-42	a608bf0e-a932-4541-8439-2ffb9f6294b0	TCGA-EJ-A46E-01A-21-A644-42
PRAD-53DF2155-A6B0-46AC-A21B-288784A53914-X038-S01-L074-B1-T2-P095	53DF2155-A6B0-46AC-A21B-288784A53914	TCGA-EJ-A46E-01A-21-A644-42	a608bf0e-a932-4541-8439-2ffb9f6294b0	TCGA-EJ-A46E-01A-21-A644-42
COAD-542202A7-3D76-40F4-89CC-8DA386DCF48B-X007-S12-L080-B1-T2-P010	542202A7-3D76-40F4-89CC-8DA386DCF48B	TCGA-AA-A00W-01A-22-A616-42	fa96d094-0165-401c-8fd5-6d1ee4ef3994	TCGA-AA-A00W-01A-22-A616-42
COAD-542202A7-3D76-40F4-89CC-8DA386DCF48B-X007-S12-L079-B1-T1-PMRG	542202A7-3D76-40F4-89CC-8DA386DCF48B	TCGA-AA-A00W-01A-22-A616-42	fa96d094-0165-401c-8fd5-6d1ee4ef3994	TCGA-AA-A00W-01A-22-A616-42
COAD-561632F0-56A1-4FF0-8DD1-219AD30591D4-X015-S04-L031-B1-T1-P037	561632F0-56A1-4FF0-8DD1-219AD30591D4	TCGA-A6-A565-01A-11-A616-42	dd7a53ee-cb08-40c4-9935-51d1ca17e9e8	TCGA-A6-A565-01A-11-A616-42
COAD-561632F0-56A1-4FF0-8DD1-219AD30591D4-X015-S04-L032-B1-T2-P036	561632F0-56A1-4FF0-8DD1-219AD30591D4	TCGA-A6-A565-01A-11-A616-42	dd7a53ee-cb08-40c4-9935-51d1ca17e9e8	TCGA-A6-A565-01A-11-A616-42
LGGx-56FF7516-4BDD-4A58-8549-8AD0F007B970-X014-S09-L018-B1-T2-P032	56FF7516-4BDD-4A58-8549-8AD0F007B970	TCGA-P5-A72X-01A-31-A617-42	2fb951f1-00a0-4caf-ac93-096056e77b1f	TCGA-P5-A72X-01A-31-A617-42
ESCA-57016875-7C97-43EE-AD1F-242912852479-X021-S06-L034-B1-T1-P051	57016875-7C97-43EE-AD1F-242912852479	TCGA-IG-A3YA-01A-31-A616-42	7ab6de57-d659-47f1-a70f-1b67650e99d7	TCGA-IG-A3YA-01A-31-A616-42
ESCA-57016875-7C97-43EE-AD1F-242912852479-X021-S06-L035-B1-T2-P048	57016875-7C97-43EE-AD1F-242912852479	TCGA-IG-A3YA-01A-31-A616-42	7ab6de57-d659-47f1-a70f-1b67650e99d7	TCGA-IG-A3YA-01A-31-A616-42
COAD-57255B8E-9085-4CDF-98DE-B4858BFF5789-X019-S07-L060-B1-T1-P043	57255B8E-9085-4CDF-98DE-B4858BFF5789	TCGA-AA-A02F-01A-41-A616-42	dd4be58e-da22-4bcd-bf4c-2b9e60ffda19	TCGA-AA-A02F-01A-41-A616-42
COAD-57255B8E-9085-4CDF-98DE-B4858BFF5789-X019-S07-L061-B1-T2-P038	57255B8E-9085-4CDF-98DE-B4858BFF5789	TCGA-AA-A02F-01A-41-A616-42	dd4be58e-da22-4bcd-bf4c-2b9e60ffda19	TCGA-AA-A02F-01A-41-A616-42
KIRC-5786B3A8-42EB-47D3-A498-7FB1B3396376-X003-S10-L037-B1-T1-P010	5786B3A8-42EB-47D3-A498-7FB1B3396376	TCGA-B8-A54G-01A-31-A602-42	ea456a1f-6e2c-4b34-ad24-ccd614bd57c9	TCGA-B8-A54G-01A-31-A602-42
KIRC-5786B3A8-42EB-47D3-A498-7FB1B3396376-X003-S10-L038-B1-T2-PMRG	5786B3A8-42EB-47D3-A498-7FB1B3396376	TCGA-B8-A54G-01A-31-A602-42	ea456a1f-6e2c-4b34-ad24-ccd614bd57c9	TCGA-B8-A54G-01A-31-A602-42
LUSC-5AC6ED60-B4C0-42C1-BAB1-A173859818AE-X025-S04-L033-B1-T1-P061	5AC6ED60-B4C0-42C1-BAB1-A173859818AE	TCGA-77-A5G6-01A-31-A644-42	17104d99-8838-4e1c-bd6a-7f1ee7a94bd8	TCGA-77-A5G6-01A-31-A644-42
LUSC-5AC6ED60-B4C0-42C1-BAB1-A173859818AE-X025-S04-L034-B1-T2-P066	5AC6ED60-B4C0-42C1-BAB1-A173859818AE	TCGA-77-A5G6-01A-31-A644-42	17104d99-8838-4e1c-bd6a-7f1ee7a94bd8	TCGA-77-A5G6-01A-31-A644-42
THCA-5BD43F10-0990-41B4-AD7A-741949D128A0-X033-S02-L096-B1-T1-P083	5BD43F10-0990-41B4-AD7A-741949D128A0	TCGA-BJ-A192-01A-21-A644-42	b55375c3-9ef2-4d2f-9c29-224e746931c4	TCGA-BJ-A192-01A-21-A644-42
THCA-5BD43F10-0990-41B4-AD7A-741949D128A0-X033-S02-L097-B1-T2-P075	5BD43F10-0990-41B4-AD7A-741949D128A0	TCGA-BJ-A192-01A-21-A644-42	b55375c3-9ef2-4d2f-9c29-224e746931c4	TCGA-BJ-A192-01A-21-A644-42
KIRP-5C0BAEF0-C8D9-44C6-B37D-642EE07EA762-X023-S10-L091-B1-T1-PMRG	5C0BAEF0-C8D9-44C6-B37D-642EE07EA762	TCGA-F9-A8NY-01A-31-A617-42	94394c85-6a69-4553-b1ee-c2364d5b4dd1	TCGA-F9-A8NY-01A-31-A617-42
KIRP-5C0BAEF0-C8D9-44C6-B37D-642EE07EA762-X023-S10-L092-B1-T2-PMRG	5C0BAEF0-C8D9-44C6-B37D-642EE07EA762	TCGA-F9-A8NY-01A-31-A617-42	94394c85-6a69-4553-b1ee-c2364d5b4dd1	TCGA-F9-A8NY-01A-31-A617-42
BRCA-5C54B79C-DA02-4B22-9FC2-3D61BFFC5559-X019-S11-L068-B1-T1-P046	5C54B79C-DA02-4B22-9FC2-3D61BFFC5559	TCGA-C8-A133-01A-11-A615-42	b8b6cebc-26dc-43ae-a94a-20da6018f7ae	TCGA-C8-A133-01A-11-A615-42
BRCA-5C54B79C-DA02-4B22-9FC2-3D61BFFC5559-X019-S11-L069-B1-T2-P046	5C54B79C-DA02-4B22-9FC2-3D61BFFC5559	TCGA-C8-A133-01A-11-A615-42	b8b6cebc-26dc-43ae-a94a-20da6018f7ae	TCGA-C8-A133-01A-11-A615-42
BRCA-5C60C974-536D-4BD9-ADC5-606CA5E60C04-X020-S10-L019-B1-T1-P047	5C60C974-536D-4BD9-ADC5-606CA5E60C04	TCGA-A2-A0EV-01A-31-A615-42	7032ec9c-e96b-4642-a7b6-d0aee7a3add2	TCGA-A2-A0EV-01A-31-A615-42
